Date,Temperature,Heat Exhaustion Bodily Threshold,Time
07/09/2020,78,102,12:53 AM
07/09/2020,77,102,01:53 AM
07/09/2020,77,102,02:53 AM
07/09/2020,76,102,03:53 AM
07/09/2020,75,102,04:20 AM
07/09/2020,75,102,04:29 AM
07/09/2020,74,102,04:36 AM
07/09/2020,75,102,04:53 AM
07/09/2020,75,102,05:53 AM
07/09/2020,74,102,06:53 AM
07/09/2020,76,102,07:53 AM
07/09/2020,78,102,08:53 AM
07/09/2020,81,102,09:53 AM
07/09/2020,84,102,10:53 AM
07/09/2020,87,102,11:53 AM
07/09/2020,88,102,11:57 AM
07/09/2020,88,102,12:25 PM
07/09/2020,89,102,12:53 PM
07/09/2020,90,102,01:53 PM
07/09/2020,90,102,02:53 PM
07/09/2020,91,102,03:53 PM
07/09/2020,82,102,04:29 PM
07/09/2020,80,102,04:35 PM
07/09/2020,78,102,04:39 PM
07/09/2020,77,102,04:41 PM
07/09/2020,75,102,04:47 PM
07/09/2020,75,102,04:53 PM
07/09/2020,75,102,04:58 PM
07/09/2020,77,102,05:04 PM
07/09/2020,75,102,05:13 PM
07/09/2020,82,102,05:53 PM
07/09/2020,84,102,06:53 PM
07/09/2020,85,102,07:53 PM
07/09/2020,83,102,08:53 PM
07/09/2020,81,102,09:53 PM
07/09/2020,78,102,10:53 PM
07/09/2020,78,102,11:53 PM
08/09/2020,81,102,12:53 AM
08/09/2020,78,102,01:53 AM
08/09/2020,77,102,02:53 AM
08/09/2020,76,102,03:53 AM
08/09/2020,75,102,04:53 AM
08/09/2020,72,102,05:53 AM
08/09/2020,72,102,06:53 AM
08/09/2020,74,102,07:53 AM
08/09/2020,79,102,08:53 AM
08/09/2020,82,102,09:53 AM
08/09/2020,84,102,10:53 AM
08/09/2020,87,102,11:53 AM
08/09/2020,92,102,12:53 PM
08/09/2020,95,102,01:53 PM
08/09/2020,96,102,02:53 PM
08/09/2020,96,102,03:53 PM
08/09/2020,95,102,04:53 PM
08/09/2020,91,102,05:53 PM
08/09/2020,91,102,06:53 PM
08/09/2020,91,102,07:53 PM
08/09/2020,86,102,08:53 PM
08/09/2020,83,102,09:53 PM
08/09/2020,81,102,10:53 PM
08/09/2020,81,102,11:53 PM
