Date,Temperature,Heat Exhaustion Bodily Threshold,Time
07/10/2021,76,102,12:53 AM
07/10/2021,74,102,01:53 AM
07/10/2021,74,102,02:17 AM
07/10/2021,74,102,02:35 AM
07/10/2021,74,102,02:53 AM
07/10/2021,74,102,03:53 AM
07/10/2021,74,102,04:53 AM
07/10/2021,74,102,05:53 AM
07/10/2021,72,102,06:53 AM
07/10/2021,73,102,07:53 AM
07/10/2021,74,102,08:29 AM
07/10/2021,75,102,08:53 AM
07/10/2021,77,102,09:38 AM
07/10/2021,79,102,09:53 AM
07/10/2021,79,102,10:07 AM
07/10/2021,79,102,10:25 AM
07/10/2021,80,102,10:53 AM
07/10/2021,84,102,11:53 AM
07/10/2021,85,102,12:53 PM
07/10/2021,87,102,01:53 PM
07/10/2021,89,102,02:53 PM
07/10/2021,89,102,03:53 PM
07/10/2021,90,102,04:53 PM
07/10/2021,90,102,05:53 PM
07/10/2021,89,102,06:53 PM
07/10/2021,89,102,07:08 PM
07/10/2021,88,102,07:18 PM
07/10/2021,80,102,07:40 PM
07/10/2021,79,102,07:53 PM
07/10/2021,80,102,08:53 PM
07/10/2021,78,102,09:53 PM
07/10/2021,79,102,10:53 PM
07/10/2021,79,102,11:53 PM
08/10/2021,76,102,12:53 AM
08/10/2021,75,102,01:53 AM
08/10/2021,75,102,02:53 AM
08/10/2021,74,102,03:53 AM
08/10/2021,74,102,04:53 AM
08/10/2021,73,102,05:53 AM
08/10/2021,74,102,06:53 AM
08/10/2021,74,102,07:53 AM
08/10/2021,77,102,08:53 AM
08/10/2021,80,102,09:53 AM
08/10/2021,81,102,10:53 AM
08/10/2021,82,102,11:53 AM
08/10/2021,82,102,12:53 PM
08/10/2021,82,102,01:53 PM
08/10/2021,77,102,02:53 PM
08/10/2021,72,102,03:53 PM
08/10/2021,73,102,04:06 PM
08/10/2021,92,102,04:22 PM
08/10/2021,93,102,04:46 PM
08/10/2021,93,102,04:53 PM
08/10/2021,91,102,05:53 PM
08/10/2021,91,102,05:59 PM
08/10/2021,77,102,06:53 PM
08/10/2021,75,102,06:57 PM
08/10/2021,76,102,07:04 PM
08/10/2021,81,102,07:53 PM
08/10/2021,77,102,08:53 PM
08/10/2021,77,102,09:53 PM
08/10/2021,75,102,10:53 PM
08/10/2021,75,102,11:53 PM
