Date,Temperature,Heat Exhaustion Bodily Threshold,Time
07/09/2019,82,102,12:53 AM
07/09/2019,81,102,01:53 AM
07/09/2019,77,102,02:53 AM
07/09/2019,77,102,03:53 AM
07/09/2019,77,102,04:53 AM
07/09/2019,76,102,05:53 AM
07/09/2019,76,102,06:53 AM
07/09/2019,80,102,07:53 AM
07/09/2019,82,102,08:53 AM
07/09/2019,84,102,09:53 AM
07/09/2019,87,102,10:53 AM
07/09/2019,92,102,11:53 AM
07/09/2019,92,102,12:53 PM
07/09/2019,92,102,01:53 PM
07/09/2019,93,102,02:53 PM
07/09/2019,97,102,03:53 PM
07/09/2019,99,102,04:53 PM
07/09/2019,98,102,05:53 PM
07/09/2019,94,102,06:53 PM
07/09/2019,91,102,07:53 PM
07/09/2019,80,102,08:18 PM
07/09/2019,82,102,08:53 PM
07/09/2019,79,102,09:47 PM
07/09/2019,78,102,09:53 PM
07/09/2019,81,102,09:01 PM
07/09/2019,78,102,10:53 PM
07/09/2019,78,102,11:53 PM
08/09/2019,78,102,12:53 AM
08/09/2019,79,102,01:53 AM
08/09/2019,78,102,02:53 AM
08/09/2019,77,102,03:53 AM
08/09/2019,77,102,04:53 AM
08/09/2019,76,102,05:53 AM
08/09/2019,76,102,06:53 AM
08/09/2019,77,102,07:53 AM
08/09/2019,79,102,08:53 AM
08/09/2019,82,102,09:53 AM
08/09/2019,84,102,10:53 AM
08/09/2019,87,102,11:53 AM
08/09/2019,90,102,12:53 PM
08/09/2019,90,102,01:53 PM
08/09/2019,94,102,02:53 PM
08/09/2019,95,102,03:53 PM
08/09/2019,93,102,04:53 PM
08/09/2019,94,102,05:53 PM
08/09/2019,92,102,06:53 PM
08/09/2019,89,102,07:53 PM
08/09/2019,86,102,08:53 PM
08/09/2019,86,102,09:53 PM
08/09/2019,82,102,10:53 PM
08/09/2019,81,102,11:53 PM
