Date,Temperature,Heat Exhaustion Bodily Threshold,Time
07/11/2022,77,102,12:53 AM
07/11/2022,78,102,01:53 AM
07/11/2022,78,102,02:05 AM
07/11/2022,78,102,02:53 AM
07/11/2022,76,102,03:53 AM
07/11/2022,76,102,04:32 AM
07/11/2022,75,102,04:48 AM
07/11/2022,75,102,04:53 AM
07/11/2022,75,102,05:05 AM
07/11/2022,75,102,05:17 AM
07/11/2022,75,102,05:33 AM
07/11/2022,75,102,05:53 AM
07/11/2022,74,102,06:19 AM
07/11/2022,74,102,06:41 AM
07/11/2022,74,102,06:53 AM
07/11/2022,75,102,07:53 AM
07/11/2022,75,102,08:53 AM
07/11/2022,76,102,09:53 AM
07/11/2022,77,102,10:53 AM
07/11/2022,79,102,11:53 AM
07/11/2022,80,102,12:15 PM
07/11/2022,80,102,12:41 PM
07/11/2022,81,102,12:51 PM
07/11/2022,80,102,12:53 PM
07/11/2022,82,102,01:13 PM
07/11/2022,84,102,01:53 PM
07/11/2022,85,102,02:53 PM
07/11/2022,87,102,03:53 PM
07/11/2022,88,102,04:53 PM
07/11/2022,88,102,05:53 PM
07/11/2022,87,102,06:25 PM
07/11/2022,88,102,06:53 PM
07/11/2022,86,102,07:53 PM
07/11/2022,84,102,08:53 PM
07/11/2022,84,102,09:53 PM
07/11/2022,80,102,10:53 PM
07/11/2022,79,102,11:53 PM
08/11/2022,76,102,12:12 AM
08/11/2022,74,102,12:37 AM
08/11/2022,73,102,12:51 AM
08/11/2022,74,102,12:53 AM
08/11/2022,73,102,01:53 AM
08/11/2022,72,102,02:53 AM
08/11/2022,72,102,03:53 AM
08/11/2022,72,102,04:53 AM
08/11/2022,72,102,05:53 AM
08/11/2022,71,102,06:53 AM
08/11/2022,72,102,07:53 AM
08/11/2022,72,102,08:53 AM
08/11/2022,74,102,09:53 AM
08/11/2022,76,102,10:53 AM
08/11/2022,77,102,11:22 AM
08/11/2022,79,102,11:53 AM
08/11/2022,82,102,12:53 PM
08/11/2022,82,102,01:02 PM
08/11/2022,84,102,01:53 PM
08/11/2022,85,102,02:53 PM
08/11/2022,86,102,03:53 PM
08/11/2022,85,102,04:53 PM
08/11/2022,80,102,05:53 PM
08/11/2022,79,102,06:53 PM
08/11/2022,79,102,07:53 PM
08/11/2022,77,102,08:53 PM
08/11/2022,78,102,09:53 PM
08/11/2022,77,102,10:53 PM
08/11/2022,76,102,11:53 PM
