Date,Temperature,Heat Exhaustion Bodily Threshold,Time
07/11/2025,77,102,12:53 AM
07/11/2025,76,102,01:53 AM
07/11/2025,75,102,02:53 AM
07/11/2025,75,102,03:53 AM
07/11/2025,74,102,04:41 AM
07/11/2025,73,102,04:49 AM
07/11/2025,74,102,04:53 AM
07/11/2025,74,102,05:00 AM
07/11/2025,74,102,05:28 AM
07/11/2025,73,102,05:53 AM
07/11/2025,73,102,06:53 AM
07/11/2025,74,102,07:37 AM
07/11/2025,74,102,07:53 AM
07/11/2025,74,102,08:10 AM
07/11/2025,77,102,08:53 AM
07/11/2025,80,102,09:53 AM
07/11/2025,84,102,10:53 AM
07/11/2025,87,102,11:53 AM
07/11/2025,88,102,12:53 PM
07/11/2025,90,102,01:53 PM
07/11/2025,91,102,02:53 PM
07/11/2025,93,102,03:53 PM
07/11/2025,91,102,04:22 PM
07/11/2025,79,102,04:38 PM
07/11/2025,79,102,04:53 PM
07/11/2025,80,102,04:59 PM
07/11/2025,84,102,05:25 PM
07/11/2025,84,102,05:43 PM
07/11/2025,85,102,05:53 PM
07/11/2025,87,102,06:53 PM
07/11/2025,83,102,07:53 PM
07/11/2025,83,102,08:53 PM
07/11/2025,80,102,09:53 PM
07/11/2025,80,102,10:53 PM
07/11/2025,78,102,11:53 PM
08/11/2025,76,102,12:53 AM
08/11/2025,73,102,01:53 AM
08/11/2025,72,102,02:53 AM
08/11/2025,71,102,03:53 AM
08/11/2025,71,102,04:53 AM
08/11/2025,71,102,05:53 AM
08/11/2025,73,102,06:53 AM
08/11/2025,74,102,07:53 AM
08/11/2025,75,102,08:53 AM
08/11/2025,77,102,09:53 AM
08/11/2025,78,102,10:53 AM
08/11/2025,80,102,11:53 AM
08/11/2025,82,102,12:53 PM
08/11/2025,83,102,01:53 PM
08/11/2025,82,102,02:53 PM
08/11/2025,85,102,03:53 PM
08/11/2025,87,102,04:53 PM
08/11/2025,87,102,05:53 PM
08/11/2025,84,102,06:53 PM
08/11/2025,83,102,07:53 PM
08/11/2025,81,102,08:53 PM
08/11/2025,80,102,09:53 PM
08/11/2025,79,102,10:53 PM
08/11/2025,79,102,11:53 PM
